pair_id,premise,hypothesis,reg_pred,reg_target,reg_error,clf_pred,clf_target,clf_correct,premise_len,hypothesis_len
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,4.208820343017578,3.6649999618530273,0.5438203811645508,0,0,True,14,14
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,3.1687209606170654,2.299999952316284,0.8687210083007812,0,0,True,6,14
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,3.63688588142395,3.0,0.6368858814239502,0,0,True,12,12
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,3.251011848449707,3.9000000953674316,0.6489882469177246,0,2,False,12,15
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,2.8576393127441406,3.5,0.6423606872558594,0,0,True,13,12
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.458867073059082,3.5,0.04113292694091797,0,2,False,11,15
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,3.97639799118042,4.400000095367432,0.4236021041870117,0,1,False,8,8
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,4.634884834289551,4.0,0.6348848342895508,1,0,False,9,8
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,2.8720431327819824,3.700000047683716,0.8279569149017334,0,0,True,8,8
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,3.8916244506835938,3.0999999046325684,0.7916245460510254,0,0,True,9,7
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.037092208862305,4.800000190734863,0.7629079818725586,0,1,False,11,13
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,3.7691128253936768,4.599999904632568,0.8308870792388916,0,0,True,12,11
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.4888410568237305,3.299999952316284,0.1888411045074463,2,0,False,12,13
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,3.801748514175415,2.9000000953674316,0.9017484188079834,0,0,True,10,9
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,2.7286782264709473,1.2999999523162842,1.428678274154663,0,0,True,11,10
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,1.0874404907226562,1.600000023841858,0.5125595331192017,0,0,True,8,9
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,4.746859550476074,4.0,0.7468595504760742,1,0,False,8,8
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,4.0243048667907715,4.300000190734863,0.2756953239440918,0,1,False,8,8
109,Two groups of people are playing football,Two teams are competing in a football match,3.9401907920837402,4.699999809265137,0.7598090171813965,1,1,True,7,8
114,A player is running with the ball,Football is being played by two competing teams,1.9380476474761963,3.0,1.0619523525238037,0,0,True,7,8
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,3.148221492767334,2.299999952316284,0.8482215404510498,0,0,True,10,12
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,3.2561798095703125,2.700000047683716,0.5561797618865967,0,0,True,7,12
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,3.759901523590088,2.799999952316284,0.9599015712738037,0,0,True,8,12
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,1.9614002704620361,1.399999976158142,0.561400294303894,0,0,True,12,7
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,3.452547550201416,2.9000000953674316,0.5525474548339844,0,0,True,11,14
152,A deer is jumping a fence,There is no deer jumping fences,3.595299243927002,4.099999904632568,0.5047006607055664,2,2,True,6,6
153,A wild deer is jumping a fence,A deer is jumping over a fence,4.077420234680176,4.5,0.4225797653198242,0,1,False,7,7
154,There is no deer jumping fences,A deer is jumping over a fence,3.588170051574707,2.684999942779541,0.903170108795166,2,2,True,6,7
