pair_id,premise,hypothesis,reg_pred,reg_target,reg_error,clf_pred,clf_target,clf_correct,premise_len,hypothesis_len
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,2.488853693008423,3.299999952316284,0.8111462593078613,0,0,True,12,18
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,3.1797542572021484,2.299999952316284,0.8797543048858643,0,0,True,6,14
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,4.110406398773193,3.0,1.1104063987731934,0,0,True,12,12
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,3.3160266876220703,3.9000000953674316,0.5839734077453613,0,2,False,12,15
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,2.6046361923217773,3.5,0.8953638076782227,0,0,True,13,12
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.501013994216919,3.5,0.0010139942169189453,0,2,False,11,15
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,3.933828115463257,4.400000095367432,0.4661719799041748,0,1,False,8,8
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,4.620669364929199,4.0,0.6206693649291992,1,0,False,9,8
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,2.769136905670166,3.700000047683716,0.9308631420135498,0,0,True,8,8
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,4.2353644371032715,3.9000000953674316,0.33536434173583984,1,0,False,9,9
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.8769285678863525,4.800000190734863,0.9230716228485107,0,1,False,11,13
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,3.477461576461792,4.599999904632568,1.1225383281707764,0,0,True,12,11
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,3.2525711059570312,3.799999952316284,0.5474288463592529,0,0,True,10,10
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,3.6868863105773926,2.9000000953674316,0.7868862152099609,0,0,True,10,9
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,1.8902740478515625,1.2999999523162842,0.5902740955352783,0,0,True,11,10
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,1.938392996788025,2.5999999046325684,0.6616069078445435,0,0,True,10,15
96,A man is jumping into an empty pool,There is no biker jumping in the air,1.7993083000183105,1.2000000476837158,0.5993082523345947,0,0,True,8,8
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,4.650146007537842,4.0,0.6501460075378418,1,0,False,8,8
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,3.7405853271484375,4.300000190734863,0.5594148635864258,0,1,False,8,8
109,Two groups of people are playing football,Two teams are competing in a football match,3.8920083045959473,4.699999809265137,0.8079915046691895,0,1,False,7,8
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,2.347766399383545,3.0,0.6522336006164551,0,0,True,12,12
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,4.1239519119262695,4.0,0.12395191192626953,1,0,False,12,7
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,3.3912386894226074,2.799999952316284,0.5912387371063232,0,0,True,8,12
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,3.9215455055236816,3.4000000953674316,0.52154541015625,2,2,True,8,11
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,2.3935108184814453,2.9000000953674316,0.5064892768859863,0,0,True,11,14
152,A deer is jumping a fence,There is no deer jumping fences,3.478379726409912,4.099999904632568,0.6216201782226562,2,2,True,6,6
153,A wild deer is jumping a fence,A deer is jumping over a fence,4.056684494018555,4.5,0.4433155059814453,2,1,False,7,7
154,There is no deer jumping fences,A deer is jumping over a fence,3.6023354530334473,2.684999942779541,0.9173355102539062,2,2,True,6,7
155,A deer is jumping over the enclosure,A deer is jumping a fence,3.831972122192383,4.199999809265137,0.3680276870727539,2,0,False,7,6
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,4.172175407409668,4.699999809265137,0.5278244018554688,1,1,True,12,12
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,3.4288339614868164,3.799999952316284,0.3711659908294678,0,1,False,13,12
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,3.7848432064056396,3.700000047683716,0.08484315872192383,1,0,False,12,9
168,A child is hitting a baseball,A child is missing a baseball,3.5542242527008057,3.799999952316284,0.24577569961547852,0,2,False,6,6
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,4.442166328430176,3.5,0.9421663284301758,1,0,False,11,11
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,3.8878653049468994,3.200000047683716,0.6878652572631836,0,0,True,12,14
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,4.4516167640686035,3.700000047683716,0.7516167163848877,1,0,False,14,13
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,3.6940407752990723,4.0,0.30595922470092773,0,1,False,15,9
207,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,3.414588451385498,3.299999952316284,0.11458849906921387,0,2,False,10,14
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,3.756162643432617,4.5,0.7438373565673828,0,1,False,14,9
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,3.805271625518799,4.199999809265137,0.3947281837463379,0,1,False,13,12
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,3.813720703125,4.400000095367432,0.5862793922424316,0,0,True,10,11
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,4.409682273864746,3.9000000953674316,0.5096821784973145,1,0,False,9,11
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,3.4361765384674072,3.9000000953674316,0.4638235569000244,0,1,False,11,11
230,The children of a family are playing and waiting,There are no children playing and waiting,3.716830253601074,3.0999999046325684,0.6168303489685059,2,2,True,9,7
235,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,1.8614840507507324,2.700000047683716,0.8385159969329834,0,0,True,9,11
242,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,4.697884559631348,3.9000000953674316,0.797884464263916,1,0,False,7,7
247,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,3.4604203701019287,3.5999999046325684,0.13957953453063965,0,2,False,9,7
261,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,2.579169988632202,3.200000047683716,0.6208300590515137,0,0,True,17,11
263,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,4.478473663330078,4.099999904632568,0.37847375869750977,1,0,False,10,10
264,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,4.507153034210205,2.799999952316284,1.707153081893921,1,0,False,12,10
267,The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,3.607313632965088,2.9000000953674316,0.7073135375976562,0,0,True,12,10
274,A boy is standing outside the water,A boy is standing in the water,4.310957908630371,3.5999999046325684,0.7109580039978027,1,0,False,7,7
275,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,4.101312637329102,4.199999809265137,0.09868717193603516,1,0,False,8,8
281,A boy is standing in the water,The boy is wading through the blue ocean,3.1438679695129395,4.0,0.8561320304870605,0,0,True,7,8
290,A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.813734769821167,3.0,0.813734769821167,0,0,True,8,12
318,A group of mothers in uniforms is standing near the children and one is kissing the gate,A crowd of people is near the water,2.4245753288269043,1.7000000476837158,0.7245752811431885,0,0,True,17,8
322,A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,3.989569664001465,4.699999809265137,0.7104301452636719,2,1,False,15,16
325,A man is pointing at a silver sedan,There is no man pointing at a car,3.5450143814086914,4.099999904632568,0.554985523223877,2,2,True,8,8
326,A man is pointing at a car,A man is in a parking lot and is playing tennis against a large wall,1.408758521080017,2.299999952316284,0.8912414312362671,0,0,True,7,15
334,"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach",3.782562732696533,3.0999999046325684,0.6825628280639648,0,0,True,12,12
343,An Asian woman in a crowd is carrying a black bag,An Asian woman in in the midst of many people is carrying a black bag,4.023005962371826,4.800000190734863,0.7769942283630371,0,1,False,11,15
345,An Asian woman in in the midst of many people is carrying a black bag,A girl with a black bag is on a crowded train,2.3104665279388428,3.5,1.1895334720611572,0,0,True,15,11
350,A girl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,2.5942840576171875,3.200000047683716,0.6057159900665283,0,0,True,11,11
353,A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,4.660943984985352,3.200000047683716,1.4609439373016357,1,0,False,13,13
357,There is no dog running and carrying an object in its mouth,A dog is chasing another and is holding a stick in its mouth,3.377570152282715,3.0999999046325684,0.2775702476501465,0,2,False,12,13
359,There is no dog chasing another or holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,3.581169605255127,3.9000000953674316,0.3188304901123047,2,0,False,13,11
365,A soccer player is kicking a ball out of the goal,A soccer player is kicking a ball into the goal,4.274749279022217,4.400000095367432,0.12525081634521484,1,0,False,11,10
369,A soccer player is kicking a ball into the goal,A soccer ball is not rolling into a goal net,3.518083333969116,2.799999952316284,0.718083381652832,0,0,True,10,10
371,A man is resting on a chair and rubbing his eyes,A man is sitting on a chair and rubbing his eyes,4.255101203918457,4.300000190734863,0.04489898681640625,0,1,False,11,11
383,A brown and white dog is resting in the grass,A brown and white dog is running through the tall grass,3.3925650119781494,3.934999942779541,0.5424349308013916,0,0,True,10,11
401,A man is sitting near a bike and is writing a note,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,3.039508581161499,3.700000047683716,0.6604914665222168,0,0,True,12,20
414,Two men are holding bikes and standing on the side of a road covered of snow,Two men with bikes are on the side of a snowy road,4.194324493408203,4.699999809265137,0.5056753158569336,1,1,True,16,12
416,Two men are taking a break from a trip on a snowy road,Two men are holding bikes and standing on the side of a road covered of snow,3.141286849975586,3.799999952316284,0.6587131023406982,0,0,True,13,16
419,Two men with bikes are on the side of a snowy road,Two men are walking on a snowy road,4.1363630294799805,3.9000000953674316,0.23636293411254883,1,0,False,12,8
420,Two men with bikes are on the side of a snowy road,Two men are breaking into a car during a trip on a snowy road,2.9406015872955322,2.200000047683716,0.7406015396118164,0,0,True,12,14
426,Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,4.626444339752197,3.5999999046325684,1.026444435119629,1,0,False,10,12
429,Two men are holding fishing poles,Two men are holding some water standing near fishing poles,3.872689962387085,2.5999999046325684,1.2726900577545166,0,0,True,6,10
430,Two men are standing near the water and are holding fishing poles,Two men are holding fishing poles and fishing tackle,4.421350955963135,3.9000000953674316,0.5213508605957031,1,0,False,12,9
444,A blond girl is riding the waves,A blond girl waves while she is riding,4.177231311798096,3.200000047683716,0.9772312641143799,0,0,True,7,8
455,Two children are hanging on a large branch,Two children are climbing a tree,3.3629560470581055,4.199999809265137,0.8370437622070312,0,1,False,8,6
456,There is no child hanging on a large branch,Two children are hanging on a large branch,3.840141534805298,3.299999952316284,0.5401415824890137,2,2,True,9,8
459,Three people are standing next to a tree limb,Two children are hanging on a large branch,1.9644662141799927,2.5,0.5355337858200073,0,0,True,9,8
463,There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,3.805763006210327,3.200000047683716,0.6057629585266113,2,2,True,12,9
464,A black man in green is riding a bike,A man dressed in black is riding a bike,4.126312255859375,3.5,0.626312255859375,1,0,False,9,9
466,A man is performing a trick on a green bicycle,There is no man performing a trick on a green bicycle,3.7834081649780273,4.800000190734863,1.016592025756836,2,2,True,10,11
471,A man is performing a trick on a green bicycle,A black man in green is riding a bike,3.622253656387329,2.700000047683716,0.9222536087036133,0,0,True,10,9
474,There is no child holding a squirt gun,A child is holding a squirt gun,3.9119210243225098,3.0350000858306885,0.8769209384918213,2,2,True,8,7
478,A child is holding a squirt gun,There is no child holding a water gun or getting sprayed with water,3.5421876907348633,4.085000038146973,0.5428123474121094,2,2,True,7,13
483,Two brown dogs are fighting over a red ball and are playing in the grass,There is no dog playing with a red ball,3.4661593437194824,2.5,0.9661593437194824,2,0,False,15,9
493,A black person is running along a white stand and a dog barks behind him,The black and white dog is running and a person stands behind it,3.5225167274475098,2.4000000953674316,1.1225166320800781,0,0,True,15,13
495,A little dog is slowing down and the owner is quitting chasing it,A little dog is sprinting and its owner is trying to catch it,3.7610678672790527,3.9000000953674316,0.1389322280883789,2,0,False,13,13
510,A man is sitting comfortably at a table,A laughing man is dyeing a shirt black on the table which you cannot sit at ,3.0931050777435303,2.4000000953674316,0.6931049823760986,0,0,True,8,16
