pair_id,premise,hypothesis,reg_pred,reg_target,reg_error,clf_pred,clf_target,clf_correct,premise_len,hypothesis_len
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,4.394717216491699,3.6649999618530273,0.7297172546386719,1,0,False,14,14
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,3.062532424926758,2.299999952316284,0.7625324726104736,0,0,True,6,14
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,4.187603950500488,3.0,1.1876039505004883,0,0,True,12,12
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,4.746380805969238,4.199999809265137,0.5463809967041016,1,1,True,16,13
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,3.2741105556488037,3.9000000953674316,0.6258895397186279,0,2,False,12,15
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,4.699273109436035,4.0,0.6992731094360352,1,0,False,9,8
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.860020875930786,4.800000190734863,0.9399793148040771,0,1,False,11,13
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,3.5350561141967773,4.599999904632568,1.064943790435791,0,0,True,12,11
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.475405693054199,3.299999952316284,0.17540574073791504,2,0,False,12,13
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,3.726120710372925,2.9000000953674316,0.8261206150054932,0,0,True,10,9
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,2.3519346714019775,1.2999999523162842,1.0519347190856934,0,0,True,11,10
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.0389487743377686,2.5999999046325684,0.5610511302947998,0,0,True,10,15
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,4.286247730255127,4.800000190734863,0.5137524604797363,2,1,False,9,8
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,4.787671089172363,4.0,0.7876710891723633,1,0,False,8,8
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,3.5917181968688965,4.300000190734863,0.7082819938659668,0,1,False,8,8
109,Two groups of people are playing football,Two teams are competing in a football match,3.6036272048950195,4.699999809265137,1.0963726043701172,0,1,False,7,8
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,2.3579397201538086,3.0,0.6420602798461914,0,0,True,12,12
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,3.6712498664855957,2.799999952316284,0.8712499141693115,0,0,True,8,12
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,2.42071270942688,1.399999976158142,1.0207127332687378,0,0,True,12,7
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,3.904031276702881,3.4000000953674316,0.5040311813354492,2,2,True,8,11
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,2.8860092163085938,2.200000047683716,0.6860091686248779,0,0,True,8,11
153,A wild deer is jumping a fence,A deer is jumping over a fence,4.108987808227539,4.5,0.39101219177246094,2,1,False,7,7
154,There is no deer jumping fences,A deer is jumping over a fence,3.7345662117004395,2.684999942779541,1.0495662689208984,2,2,True,6,7
155,A deer is jumping over the enclosure,A deer is jumping a fence,4.536545276641846,4.199999809265137,0.336545467376709,1,0,False,7,6
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,3.7073922157287598,3.799999952316284,0.09260773658752441,0,1,False,13,12
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,3.898413896560669,3.700000047683716,0.19841384887695312,1,0,False,12,9
168,A child is hitting a baseball,A child is missing a baseball,3.42510986328125,3.799999952316284,0.3748900890350342,0,2,False,6,6
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,4.287567138671875,3.700000047683716,0.5875670909881592,1,0,False,12,12
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.681497812271118,3.700000047683716,0.018502235412597656,0,1,False,11,6
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,3.6862633228302,4.199999809265137,0.5137364864349365,0,1,False,12,6
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,3.7071821689605713,4.099999904632568,0.39281773567199707,0,1,False,12,6
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,4.497027397155762,3.5,0.9970273971557617,1,0,False,11,11
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,3.819112777709961,3.200000047683716,0.6191127300262451,0,0,True,12,14
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,4.540670394897461,3.700000047683716,0.8406703472137451,1,0,False,14,13
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,3.6886887550354004,4.0,0.3113112449645996,0,1,False,15,9
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,3.8006701469421387,4.5,0.6993298530578613,0,1,False,14,9
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,3.9682657718658447,4.199999809265137,0.231734037399292,0,1,False,13,12
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,3.7495155334472656,4.400000095367432,0.650484561920166,0,0,True,10,11
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,4.457924842834473,3.9000000953674316,0.557924747467041,1,0,False,9,11
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,4.674627780914307,3.9000000953674316,0.774627685546875,1,1,True,11,11
230,The children of a family are playing and waiting,There are no children playing and waiting,3.6791045665740967,3.0999999046325684,0.5791046619415283,2,2,True,9,7
