pair_id,premise,hypothesis,reg_pred,reg_target,reg_error,clf_pred,clf_target,clf_correct,premise_len,hypothesis_len
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,3.0694680213928223,2.299999952316284,0.7694680690765381,0,0,True,6,14
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,4.308495998382568,3.0,1.3084959983825684,1,0,False,12,12
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,4.223900318145752,4.199999809265137,0.023900508880615234,0,1,False,16,13
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,3.164799213409424,3.9000000953674316,0.7352008819580078,0,2,False,12,15
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,2.583930253982544,3.5,0.916069746017456,0,0,True,13,12
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,3.2736663818359375,3.5,0.2263336181640625,0,2,False,11,15
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,3.8800265789031982,4.400000095367432,0.5199735164642334,0,1,False,8,8
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,4.559404373168945,4.0,0.5594043731689453,1,0,False,9,8
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,2.743379592895508,3.700000047683716,0.956620454788208,0,0,True,8,8
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,3.268399715423584,3.9000000953674316,0.6316003799438477,0,0,True,9,7
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.697727918624878,4.800000190734863,1.1022722721099854,0,1,False,11,13
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,3.308124303817749,4.599999904632568,1.2918756008148193,0,0,True,12,11
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.350876808166504,3.299999952316284,0.05087685585021973,2,0,False,12,13
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,4.186014652252197,4.699999809265137,0.5139851570129395,0,1,False,10,10
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,3.867539405822754,2.9000000953674316,0.9675393104553223,0,0,True,10,9
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,2.9144718647003174,1.2999999523162842,1.6144719123840332,0,0,True,11,10
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,2.5222113132476807,1.600000023841858,0.9222112894058228,0,0,True,8,9
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",2.533050537109375,1.600000023841858,0.9330505132675171,0,0,True,8,8
96,A man is jumping into an empty pool,There is no biker jumping in the air,2.190187692642212,1.2000000476837158,0.9901876449584961,0,0,True,8,8
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,4.2783989906311035,4.0,0.2783989906311035,1,0,False,8,8
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,3.7411975860595703,4.300000190734863,0.558802604675293,0,1,False,8,8
109,Two groups of people are playing football,Two teams are competing in a football match,3.748624086380005,4.699999809265137,0.9513757228851318,0,1,False,7,8
114,A player is running with the ball,Football is being played by two competing teams,1.2994338274002075,3.0,1.7005661725997925,0,0,True,7,8
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,4.238886833190918,4.800000190734863,0.5611133575439453,1,1,True,10,12
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,2.9290995597839355,2.299999952316284,0.6290996074676514,0,0,True,10,12
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,1.9217700958251953,1.399999976158142,0.5217701196670532,0,0,True,12,7
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,1.6967930793762207,2.200000047683716,0.5032069683074951,0,0,True,8,11
152,A deer is jumping a fence,There is no deer jumping fences,3.5638678073883057,4.099999904632568,0.5361320972442627,2,2,True,6,6
153,A wild deer is jumping a fence,A deer is jumping over a fence,4.012637615203857,4.5,0.4873623847961426,0,1,False,7,7
154,There is no deer jumping fences,A deer is jumping over a fence,3.501744508743286,2.684999942779541,0.8167445659637451,2,2,True,6,7
156,A deer is jumping a fence,A deer isn't jumping over the fence,3.3327150344848633,3.549999952316284,0.2172849178314209,0,2,False,6,7
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,3.3118481636047363,3.799999952316284,0.48815178871154785,0,1,False,13,12
168,A child is hitting a baseball,A child is missing a baseball,3.2413158416748047,3.799999952316284,0.5586841106414795,0,2,False,6,6
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,4.397866725921631,3.700000047683716,0.697866678237915,1,0,False,12,12
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.794640302658081,3.700000047683716,0.09464025497436523,0,1,False,11,6
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,3.79602313041687,4.199999809265137,0.4039766788482666,0,1,False,12,6
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,3.8019938468933105,4.099999904632568,0.2980060577392578,0,1,False,12,6
